"Marca temporal","Indique la Comunidad Autónoma en la que reside","Marque la opción que mejor describa su situación","Escriba su Código Postal","Indique su distrito","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su barrio","Indique su nivel máximo de estudios","En una escala del 1 al 5 valore la rapidez con la que el gobierno central está tomando medidas contra la pandemia","¿Cuál es la información respecto a la crisis del COVID-19 que más le importa conocer?","¿Qué medios utiliza para informarse sobre el COVID-19?","¿Cree que algún grupo de edad está menos informado respecto al COVID-19?","Según este gráfico:","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Central]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Autonómico]","Evalúe en una escala del 1 al 5 la transparencia  con los datos respecto a la crisis del COVID-19 del gobierno central, autonómico y local [Local]","Indique los métodos de propagación del COVID-19 según las fuentes oficiales","Indique su año de nacimiento (4 cifras)","Indique su sexo"
"2020/04/28 10:02:38 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV;Twitter","Personas de la tercera edad","En España hay aproximadamente 80.000 casos activos","3","3","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 10:03:18 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","La Creu Coberta","","","","","","","","","","","Universitario","3","Recuperados","TV;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","2000","Masculino"
"2020/04/28 10:04:03 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Infectados","TV;Radio;Periódicos digitales;Amigos;Blogs de periodismo","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","No lo sé","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","2003","Femenino"
"2020/04/28 10:04:16 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46006","Quatre Carreres","","","","","","","","","","Mont-Olivet","","","","","","","","","","Universitario","3","Recuperados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","4","4","5","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:04:32 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","","La Creu Coberta","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","","TV","Personas de la tercera edad","Hay aproximadamente 100.000 casos de recuperados en España","2","2","2","Propagación por gotas al toser y estornudar","1966","Femenino"
"2020/04/28 10:05:31 p. m. EET","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020/04/28 10:05:43 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","2","2","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:05:56 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","2","5","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Femenino"
"2020/04/28 10:07:23 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46014","Patraix","","","","","","","","Safranar","","","","","","","","","","","","Universitario","4","Infectados","TV;Fuentes oficiales del Gobierno;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1995","Femenino"
"2020/04/28 10:07:40 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","TV;Amigos;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","","1","1","1","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:09:10 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46023","Quatre Carreres","","","","","","","","","","Ciutat de les Arts i les Ciències","","","","","","","","","","Universitario","3","Infectados","Periódicos digitales;Twitter","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","2","2","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:09:12 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Infectados","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación a través del aire","2003","Masculino"
"2020/04/28 10:09:21 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46013","Quatre Carreres","","","","","","","","","","Ciutat de les Arts i les Ciències","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales","","En España hay aproximadamente 80.000 casos activos","4","No lo sé","No lo sé","Propagación a través del aire;Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 10:09:42 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","1","Infectados","TV;Radio","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","5","Propagación por gotas al toser y estornudar","1968","Femenino"
"2020/04/28 10:10:08 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Jesús","","","","","","","","","Sant Marcel·lí","","","","","","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Twitter","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","1998","Femenino"
"2020/04/28 10:11:29 p. m. EET","La Rioja","","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","1","Fallecidos","TV;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","2","No lo sé","Propagación por gotas al toser y estornudar","2006","Femenino"
"2020/04/28 10:12:15 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Recuperados","TV","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2000","Femenino"
"2020/04/28 10:12:37 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46022","Poblats Marítims","","","","","","","","","","","Beteró","","","","","","","","","Universitario","3","Infectados","TV;Periódicos digitales;Facebook","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","No lo sé","3","2","Propagación por gotas al toser y estornudar","1997","Femenino"
"2020/04/28 10:15:48 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","2","Recuperados","TV;Periódicos digitales;Twitter","Personas jóvenes","Hay aproximadamente 100.000 casos de recuperados en España","2","3","3","Propagación a través del aire;Propagación por gotas al toser y estornudar","2002","Masculino"
"2020/04/28 10:18:14 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46904","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Periódicos digitales","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","3","3","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:18:39 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46006","Quatre Carreres","","","","","","","","","","Mont-Olivet","","","","","","","","","","Universitario","1","Infectados","TV;Periódicos digitales","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","4","4","Propagación a través del aire;Propagación por gotas al toser y estornudar","1997","Femenino"
"2020/04/28 10:19:39 p. m. EET","I. Canarias","","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","1","Fallecidos","TV;Radio;Fuentes oficiales del Gobierno","Personas jóvenes","La suma de casos activos y casos recuperados son los casos confirmados en España","1","1","1","Propagación por gotas al toser y estornudar","1984","Femenino"
"2020/04/28 10:19:59 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46017","Patraix","","","","","","","","Patraix","","","","","","","","","","","","Universitario","3","Fallecidos","TV;Fuentes oficiales del Gobierno;Twitter","Personas adultas","En España se han dado aproximadamente 20.000 muertes","3","2","2","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:21:58 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","4","Infectados","TV;Fuentes oficiales del Gobierno;Instagram","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","No lo sé","No lo sé","Propagación por gotas al toser y estornudar","2001","Masculino"
"2020/04/28 10:21:59 p. m. EET","País Vasco","","","","","","","","","","","","","","","","","","","","","","","Universitario","1","Infectados","Periódicos digitales;Twitter","Personas jóvenes","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1981","Femenino"
"2020/04/28 10:22:40 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","5","Conocer qué dice el Comité del Coronavirus","TV;Radio;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","Hay aproximadamente 100.000 casos de recuperados en España","5","5","No lo sé","Propagación por gotas al toser y estornudar","1956","Femenino"
"2020/04/28 10:23:21 p. m. EET","Comunidad Valenciana","Vivo en Valencia","46018","L'Olivereta","","","","","","","Nou Moles","","","","","","","","","","","","","Universitario","2","Infectados","Fuentes oficiales del Gobierno;Periódicos digitales;Blogs de periodismo","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","1","1","Propagación por gotas al toser y estornudar","1968","Femenino"
"2020/04/28 10:23:22 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Fallecidos","TV","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","3","2","1","Propagación por gotas al toser y estornudar","1974","Femenino"
"2020/04/28 10:23:29 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Universitario","2","Fallecidos","TV;Amigos;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","2","3","4","Propagación a través del aire;Propagación por gotas al toser y estornudar;Propagación a través de insectos","2000","Femenino"
"2020/04/28 10:23:43 p. m. EET","Madrid","","","","","","","","","","","","","","","","","","","","","","","Educación Secundaria Obligatoria","1","Recuperados","TV;Periódicos digitales","No creo que haya diferencias entre los diferentes grupos de edad","En España se han dado aproximadamente 20.000 muertes","1","3","1","Propagación por gotas al toser y estornudar","1971","Femenino"
"2020/04/28 10:25:42 p. m. EET","Cataluña","","","","","","","","","","","","","","","","","","","","","","","Universitario","3","Infectados","TV;Fuentes oficiales del Gobierno;Periódicos digitales;Blogs de periodismo;Twitter;Instagram","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","3","3","3","Propagación por gotas al toser y estornudar","2001","Femenino"
"2020/04/28 10:27:24 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","3","Ingresados en la UCI","TV;Radio","Personas de la tercera edad","En España se han dado aproximadamente 20.000 muertes","1","4","5","Propagación por gotas al toser y estornudar","1977","Masculino"
"2020/04/28 10:27:36 p. m. EET","Comunidad Valenciana","Vivo en otra población y no voy a Valencia durante la cuarentena","","","","","","","","","","","","","","","","","","","","","","Bachillerato / Ciclos Formativos","4","Recuperados","TV;Periódicos digitales;Instagram;Otras redes sociales","No creo que haya diferencias entre los diferentes grupos de edad","La suma de casos activos y casos recuperados son los casos confirmados en España","4","No lo sé","No lo sé","Propagación a través del aire","2001","Femenino"
